Series,Netflix,PBS,Episodes,Judges,Hosts,Num of Contestants,Location,Channel,Start,End,Year,Viewers (millions)
1,null,null,6,Paul and Mary,Mel and Sue,10,Varied,BBC Two,August 17,September 21,2010,2.77
2,null,null,8,Paul and Mary,Mel and Sue,12,Valentines Mansion,BBC Two,August 14,October 4,2011,4.00
3,The Beginnings,Season 5,10,Paul and Mary,Mel and Sue,12,Harptree Court,BBC Two,August 14,October 16,2012,5.00
4,Collection 2,Season 2,10,Paul and Mary,Mel and Sue,13,Harptree Court,BBC Two,August 20,October 22,2013,7.35
5,Collection 1,Season 1,10,Paul and Mary,Mel and Sue,12,Welford Park,BBC One,August 6,October 8,2014,10.04
6,Collection 3,Season 3,10,Paul and Mary,Mel and Sue,12,Welford Park,BBC One,August 5,October 7,2015,12.50
7,Collection 4,Season 7 ,10,Paul and Mary,Mel and Sue,12,Welford Park,BBC One,August 24,October 26,2016,13.85
8,Collection 5,,10,Paul and Prue,Noel and Sandy,12,Welford Park,Channel 4,August 29,October 31,2017,9.29
9,Collection 6,,10,Paul and Prue,Noel and Sandy,12,Welford Park,Channel 4,August 28,October 30,2018,9.30
10,Collection 7,,10,Paul and Prue,Noel and Sandy,13,Welford Park,Channel 4,August 27,October 29,2019,9.24
11,Collection 8,,10,Paul and Prue,Noel and Matt,12,Down Hall,Channel 4,September 22,November 24,2020,10.87