title,judge,makes,difficulty,hands_on_time,baking_time,ingredients,recipe_image,judge_image
Steven’s Mediterranean Medley Clanger,Steven,6-8,Needs skill,1 hr 45 mins,25 mins,"[<h5>For the filling:</h5>, <p>350g sweet potatoes, peeled and cut into 1cm dice (to give 250g diced potato)</p>, <p>1½ tbsp olive oil</p>, <p>1 large red onion, finely chopped</p>, <p>2 garlic cloves, crushed</p>, <p>½–1 tsp dried red chilli flakes, to taste</p>, <p>½ tsp sumac (optional)</p>, <p>1½ tsp ground cumin</p>, <p>1½ tsp ground coriander</p>, <p>1½ tsp smoked sweet paprika</p>, <p>1 tbsp pomegranate molasses</p>, <p>1 tbsp clear honey (preferably Greek)</p>, <p>2 x 390g cartons chopped tomatoes with onion and garlic</p>, <p>1 x 400g can chickpeas, drained</p>, <p>25g mild piquanté peppers (from a jar), drained and thinly sliced</p>, <p>200g feta cheese, drained and diced</p>, <p>30g pine nuts, toasted</p>, <p>1 rounded tbsp mixed chopped fresh herbs, such coriander, thyme and mint leaves</p>, <p>salt and pepper, to taste</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_056_MedClanger_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Stacey’s Camembert & Caramelised Onion Clanger,Stacey,6–8,Needs skill,1 hr 15 mins,35 mins,"[<h5>For the filling:</h5>, <p>2 tbsp olive oil </p>, <p>7g unsalted butter </p>, <p>2 large onions, thinly sliced </p>, <p>2 tbsp balsamic vinegar </p>, <p>2 tbsp dark muscovado sugar </p>, <p>30g pine nuts </p>, <p>40g wild rocket, washed, dried and chilled </p>, <p>225g camembert cheese, cut into 1cm slices </p>, <p>salt and black pepper, to taste </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/171013_055_CamentbertClanger_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Stacey-1201_l-100x100.jpg
Sophie’s Gianduja Cannoli,Sophie,24,Challenging,2 hrs,8-10 mins,"[<h5>For the shells:</h5>, <p>280g plain flour </p>, <p>50g caster sugar </p>, <p>¼ tsp ground cinnamon </p>, <p>25g solid 100% vegetable baking fat, diced </p>, <p>2 eggs, 1 separated </p>, <p>4 tbsp Marsala wine </p>, <p>1 tsp distilled white vinegar </p>, <p>about 2 litres sunflower oil, for deep frying </p>, <p>150g milk chocolate, finely chopped, to decorate </p>, <p>100g roasted chopped hazelnuts, to decorate </p>, <p>icing sugar, for dusting </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Gianduja-Cannoli-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
Kate’s Espresso Martini Cannoli,Kate,24,Challenging,2 hrs 30 mins,8–10 mins,"[<h5>For the cannoli shells: </h5>, <p>220g plain flour </p>, <p>1 tsp finely ground espresso coffee </p>, <p>30g caster sugar </p>, <p>30g unsalted butter, at room temperature, diced </p>, <p>80ml Marsala wine </p>, <p>1 tbsp distilled white vinegar </p>, <p>1 egg white </p>, <p>about 2 litres sunflower oil, for deep frying </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Espresso-Martini-Cannoli-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
"Steven’s Milk Chocolate, Almond Praline & Honey Cannoli",Steven,24,Challenging,2 hrs 15 mins,8–10 mins,"[<h5>For the cannoli shells: </h5>, <p>200g plain flour, plus extra for dusting </p>, <p>25g caster sugar </p>, <p>¼ tsp ground cinnamon </p>, <p>20g solid vegetable baking fat, diced </p>, <p>4 tbsp Marsala wine </p>, <p>1½ tsp distilled white vinegar </p>, <p>1 egg, separated </p>, <p>about 2 litres sunflower oil, for deep frying </p>, <p>icing sugar, for dusting </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Praline-Honey-Cannoli-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Liam’s Cannoli with Baklava Filling,Liam,24,Challenging,2 hrs,8–10 mins,"[<h5>For the cannoli shells: </h5>, <p>300g plain flour </p>, <p>50g caster sugar </p>, <p>¼ tsp bicarbonate of soda </p>, <p>¼ tsp ground cinnamon </p>, <p>¼ tsp fine sea salt </p>, <p>4 tbsp Marsala wine </p>, <p>1 egg, separated </p>, <p>50g unsalted butter, melted and cooled </p>, <p>about 2 litres sunflower oil, for deep frying </p>, <p>icing sugar, for dusting </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Cannoli-Baklava-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Liam-959_l-100x100.jpg
Stacey’s Lemon Cheesecake Cannoli,Stacey,24,Challenging,2 hrs 30 mins,14 mins,"[<h5>For the cannoli shells: </h5>, <p>200g plain flour </p>, <p>2 tbsp caster sugar </p>, <p>1 tbsp cocoa powder </p>, <p>½ tsp ground cinnamon </p>, <p>40g unsalted butter, at room temperature, diced </p>, <p>4 tbsp Marsala wine </p>, <p>1 egg white, beaten </p>, <p>about 2 litres of sunflower oil, for deep frying </p>, <p>150g good-quality white chocolate, finely chopped, to decorate </p>, <p>icing sugar, for dusting  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Lemon-Cheesecake-Cannoli-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Stacey-1201_l-100x100.jpg
Stacey’s Old-Fashioned Minced Beef Pies,Stacey,4,Needs skill,2 hrs,25 mins,"[<h5>For the filling:</h5>, <p>50g pine nuts </p>, <p>2 tbsp sunflower oil </p>, <p>1 onion, finely chopped </p>, <p>500g very lean minced beef </p>, <p>½ tsp ground cinnamon </p>, <p>½ tsp ground allspice </p>, <p>2 pinches dried red chilli flakes </p>, <p>1½ tbsp tomato purée </p>, <p>100ml hot beef stock  </p>, <p>salt and ground black pepper</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/170918_036_MinceMeatPies_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Stacey-1201_l-100x100.jpg
Sophie’s Four Seasons Individual Pies,Sophie,4,Needs skill,2 hrs 30 mins,1 hr 5 mins,"[<h5>For the rich shortcrust pastry:</h5>, <p>500g plain flour </p>, <p>¼ tsp salt </p>, <p>250g unsalted butter, chilled and diced </p>, <p>3 egg yolks </p>, <p>about 120ml ice-cold water </p>, <p>1 egg, beaten, for glazing  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/10/170920_041_SeasonsPies_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
Steven’s Lemon & Blackcurrant Drizzle Steamed Pudding,Steven,8,Easy,1 hr 15 mins,2 hrs,"[<h5>For the sponge: </h5>, <p>finely grated zest of 5 unwaxed lemons </p>, <p>175g self-raising flour </p>, <p>175g unsalted butter, softened </p>, <p>175g golden caster sugar </p>, <p>½ tsp vanilla extract </p>, <p>3 eggs, beaten  </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/09/170912_032_LemonBcurrentPud_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Yan’s Mango Fruit Hat Pudding,Yan,8,Needs skill,1 hr 15 mins,2 hrs,"[<h5>For the sponge:</h5>, <p>170g unsalted butter, softened </p>, <p>170g light muscovado sugar </p>, <p>1 tsp ground mixed spice </p>, <p>1 large ripe mango, peeled, stoned and flesh cut into long 5mm-thick slices </p>, <p>1 small ripe mango, peeled, stoned and flesh cut into 1cm chunks </p>, <p>1 tbsp runny honey </p>, <p>finely grated zest of 2 unwaxed limes </p>, <p>2 tsp stem ginger, finely chopped </p>, <p>½ tsp vanilla extract </p>, <p>2 eggs, beaten  </p>, <p>100g self-raising flour </p>, <p>½ tsp baking powder </p>, <p>75g stale white breadcrumbs</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/09/170912_031_MangoCoconutPud_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Yan-928_l-100x100.jpg
James’s Steamed Orange & Ginger Pudding,James,8,Easy,1 hr,2 hrs 15 mins,"[<h5>To prepare the pudding bowl:</h5>, <p>3 tbsp golden syrup </p>, <p>1 tbsp ginger syrup (from jar of stem ginger) </p>, <p>2 large, thin-skinned oranges, rinsed, then sliced thinly </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2017/09/170912_029_OrangeGingerPud_450.jpg,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-James-1045_l-100x100.jpg
"Steven’s Macadamia, Orange & Coffee Millionaire’s Shortbread",Steven,12,Easy,1 hr 15 mins,15 mins,"[<h5>For the shortbread:</h5>, <p>225g plain flour </p>, <p>200g unsalted butter, chilled and diced </p>, <p>120g caster sugar </p>, <p>pinch of salt </p>, <p>1 egg yolk </p>, <p>1 tbsp double cream </p>, <p>120g macadamia nut halves, halved again</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Macadamia_Millionaires_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Sophie’s Millionaire’s Jaffa Shortbread,Sophie,9,Needs skill,1 hr 30 mins,20 mins,"[<h5>For the shortbread:</h5>, <p>100g cornflour </p>, <p>160g plain flour </p>, <p>100g icing sugar </p>, <p>200g unsalted butter, chilled and diced </p>, <p>1 tsp vanilla powder </p>, <p>finely grated zest of 1 large unwaxed orange</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Jaffa_Shortbread_1024x450_2.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
Liam’s Salted Peanut Millionaire’s Shortbread,Liam,10-12,Needs skill,2 hrs,16 mins,"[<h5>For the shortbread dough:</h5>, <p>175g plain flour </p>, <p>90g rice flour or ground rice </p>, <p>¼ tsp fine sea salt </p>, <p>85g caster sugar </p>, <p>175g unsalted butter, chilled and diced </p>, <p>½ tsp vanilla bean paste </p>, <p>250g 70% dark chocolate, chopped into small pieces </p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Peanut_Millionaires_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Liam-959_l-100x100.jpg
Kate’s Blueberry Buns,Kate,12,Easy,1 hr 30 mins,20 mins,"[<h5>For the dough:</h5>, <p>300ml whole milk</p>, <p>50g unsalted butter, softened and diced</p>, <p>500g strong white bread flour</p>, <p>1 tsp salt</p>, <p>75g golden caster sugar</p>, <p>7g fast-action dried yeast</p>, <p>1½ tsp ground cardamom</p>, <p>2 tsp ground cinnamon</p>, <p>1 egg, beaten</p>, <p>150g dried blueberries</p>, <p>100ml hot water</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Blueberry_Teacakes_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Kate-1135_l-100x100.jpg
James’s Nordic Teacakes,James,12,Easy,1 hr 30 mins,20 mins,"[<h5>For the soaked fruit:</h5>, <p>200g sultanas </p>, <p>100g dried cranberries </p>, <p>75ml port </p>, <p>1 tsp plain flour</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Nordic_Teacakes_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-James-1045_l-100x100.jpg
Stacey’s Cranberry & Cinnamon Teacakes,Stacey,12,Easy,1 hr 45 mins,20 mins,"[<h5>For the dough:</h5>, <p>750g strong white bread flour </p>, <p>10g sea salt flakes, finely crushed </p>, <p>75g caster sugar </p>, <p>1 tbsp ground cinnamon </p>, <p>10g fast-action dried yeast </p>, <p>70g unsalted butter, at room temperature, diced; plus extra, softened, for glazing </p>, <p>about 425ml tepid water </p>, <p>175g dried cranberries </p>, <p>3 tbsp whole milk, for brushing</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Cranberry_Teacakes_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Stacey-1201_l-100x100.jpg
Yan’s Masala Chai Spiced Teacakes,Yan,12,Easy,1 hr 45 mins,20 mins,"[<h5>For the infused milk:</h5>, <p>10 cloves </p>, <p>6 green cardamom pods, lightly cracked </p>, <p>4 whole black peppercorns </p>, <p>3 small cinnamon sticks, slightly broken up </p>, <p>500ml semi-skimmed milk </p>, <p>2 tsp ground ginger </p>, <p>4 Assam tea bags</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Masala_Chai_Teacakes_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Yan-928_l-100x100.jpg
Stacey’s Sparkly Chocolate Sandwich Cookies,Stacey,24 pairs,Needs skill,1 hr 30 mins,10 mins,"[<h5>For the biscuit dough:</h5>, <p>145g unsalted butter, softened</p>, <p>300g caster sugar</p>, <p>1 egg</p>, <p>190g plain flour</p>, <p>75g cocoa powder</p>, <p>1 tsp bicarbonate of soda</p>, <p>¼ tsp salt</p>, <p>edible silver glitter dust, or icing sugar, plus extra to decorate (optional)</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Sparkly_Cookies_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Stacey-1201_l-100x100.jpg
Steven’s Amarspressi Biscuits,Steven,8,Easy,50 mins,15 mins,"[<h5>For the biscuit dough:</h5>, <p>140g ground almonds</p>, <p>140g golden caster sugar</p>, <p>30g semolina</p>, <p>2 egg whites</p>, <p>1 tbsp amaretto liqueur</p>, <p>1 tbsp flaked almonds, to decorate</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Amarspressi_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Steven-987_l-100x100.jpg
Tom’s Coffee & Amaretto Kisses,Tom,15,Needs skill,1 hr 15 mins,15 mins,"[<h5>For the biscuit dough:</h5>, <p>250g salted butter, very soft</p>, <p>50g icing sugar</p>, <p>30g cornflour</p>, <p>250g plain flour</p>, <p>1 tbsp instant espresso coffee powder</p>, <p>½ tsp vanilla extract</p>, <p>60g 70% dark chocolate, melted, to decorate</p>, <p>35g walnut pieces, finely chopped, to decorate</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Coffee_Kisses_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Tom-890_l-100x100.jpg
James’s Rhubarb & Custard Whirls,James,12,Needs skill,1 hr 30 mins,15 mins,"[<h5>For the dough:</h5>, <p>40g icing sugar</p>, <p>185g plain flour</p>, <p>40g custard powder</p>, <p>185g very soft unsalted butter</p>, <p>½ tsp vanilla bean paste</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Rhubarb_Custard_Whirls_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-James-1045_l-100x100.jpg
Flo’s Gin Jam Butties,Flo,24 small or 15 large,Easy,1 hr,10 mins,"[<h5>For the biscuit dough:</h5>, <p>500g plain flour</p>, <p>200g icing sugar</p>, <p>good pinch of salt</p>, <p>250g unsalted butter, chilled and diced</p>, <p>3 egg yolks</p>, <p>2 tsp vanilla extract</p>, <p>1–2 tbsp whole milk, if necessary</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Gin_Jams_1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Flo-1074_l-100x100.jpg
Chris’s Tropical Fresh Fruit Cake,Chris,16,Easy,1 hr 45 mins,35 mins,"[<h5>For the sponge:</h5>, <p>225g mango (about 2 large fruit), stoned and finely chopped</p>, <p>175g pineapple (about 1 pineapple), cored and chopped</p>, <p>340g white caster sugar</p>, <p>40g golden caster sugar</p>, <p>finely grated zest of 1 unwaxed lemon</p>, <p>finely grated zest of 1 unwaxed lime</p>, <p>2 eggs</p>, <p>380g self-raising flour</p>, <p>1½ tsp baking powder</p>, <p>2 tbsp limoncello liqueur</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Tropical-Cake-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Chris-1105_l-100x100.jpg
Sophie’s Pineapple & Coconut Sandwich Cake,Sophie,12,Needs skill,1 hr 30 mins,1 hr 30 mins,"[<h5>For the sponge:</h5>, <p>100g pack fresh coconut chunks</p>, <p>1 pineapple, topped, tailed and peeled</p>, <p>170g cake margarine, or softened unsalted butter</p>, <p>225g caster sugar</p>, <p>5 eggs, beaten</p>, <p>240g self-raising flour</p>, <p>2 tbsp coconut flakes, toasted, to decorate</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Coconut-Pineapple-Sandwich-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Sophie-1162_l-100x100.jpg
"Liam’s Apple, Almond & Maple Crumble Loaf",Liam,10–12,Easy,30 mins,1 hr 20 mins,"[<h5>For the sponge:</h5>, <p>1 Bramley apple (about 325g), peeled, cored and chopped into 1cm chunks</p>, <p>1 large Granny Smith or tart dessert apple (about 155g), peeled, cored and chopped into 1cm chunks</p>, <p>250g self-raising flour</p>, <p>140g unsalted butter, softened</p>, <p>70g golden caster sugar</p>, <p>70g light muscovado sugar</p>, <p>3 eggs</p>, <p>1 tsp vanilla extract</p>, <p>1 tsp ground cinnamon</p>, <p>few gratings nutmeg or a little ground nutmeg</p>, <p>3 tbsp whole milk</p>, <p>2 tbsp maple syrup</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Crumble-Loaf-Cake-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Liam-959_l-100x100.jpg
Peter’s Coconut Cake,Peter,12,Easy,40 mins,50 mins,"[<h5>For the sponge:</h5>, <p>1 whole fresh coconut</p>, <p>250g plain flour</p>, <p>50g coconut flour</p>, <p>5 tsp baking powder</p>, <p>½ tsp salt</p>, <p>220g cake margarine</p>, <p>300g coconut palm sugar</p>, <p>4 eggs, beaten</p>, <p>1½ tsp vanilla extract</p>, <p>200ml coconut milk</p>, <p>2 tbsp demerara sugar, for sprinkling</p>, <p>20g desiccated coconut, toasted, to decorate</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Coconut-Cake-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Peter-1016_l-100x100.jpg
Tom’s Gilded Pear & Cardamom Cake,Tom,16,Easy,1 hr,55 mins,"[<h5>For the sponge:</h5>, <p>6 pears, peeled, cored and cut into 3mm-thick slices</p>, <p>250g fresh or frozen blackcurrants</p>, <p>250g blueberries, plus extra to decorate</p>, <p>200g blackberries, plus extra to decorate</p>, <p>500g self-raising flour</p>, <p>500g unsalted butter, softened</p>, <p>435g caster sugar</p>, <p>10 eggs, lightly beaten</p>, <p>2 tsp ground cinnamon</p>, <p>2 tsp finely ground green cardamom (about 20 pods)</p>, <p>2 tsp baking powder</p>, <p>1 tsp lemon juice</p>, <p>1 small pear, to decorate</p>, <p>1 sheet of edible gold leaf</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/09/Guilded-Pear-1024x450-3.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Tom-890_l-100x100.jpg
Walnut & Stilton Soda Bread,Tom,2 loaves,Easy,1 hr,55 mins,"[<p>200g Stilton</p>, <p>150g walnut pieces</p>, <p>100g sultanas</p>, <p>600g plain white flour</p>, <p>400g plain wholemeal flour, plus extra for dusting</p>, <p>2 tsp bicarbonate of soda</p>, <p>2 tsp salt</p>, <p>about 800ml buttermilk</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/12/Recipe_Card_C_1024_1-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Tom-890_l-100x100.jpg
Zingy Citrus Madeira Cake,Tom,8,Easy,1 hr,55 mins,"[<h5>For the cake mixture:</h5>, <p>150g unsalted butter, softened</p>, <p>150g caster sugar</p>, <p>4 medium eggs, at room temperature, beaten to mix</p>, <p>200g self-raising flour</p>, <p>pinch of salt</p>, <p>finely grated zest of 2 medium oranges</p>, <p>finely grated zest of 1 large unwaxed lemon</p>]",https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2019/12/Recipe_Card_C_1024_1-1024x450.png,https://thegreatbritishbakeoff.co.uk/wp-content/uploads/2016/08/GBBO8-Baker-Portrait-Tom-890_l-100x100.jpg
